"2022","city","country","latitude","longitude"
203533,"Hortolandia","Brazil",-22.8583,-47.22
202005,"Mossoro","Brazil",-5.1875,-37.3442
201748,"Itapevi","Brazil",-23.5489,-46.9342
201334,"Sete Lagoas","Brazil",-19.4658,-44.2467
200000,"Sao Jose","Brazil",-28.2117,-49.1632
196272,"Palmas","Brazil",-10.1674,-48.3277
196259,"Parauapebas","Brazil",-6.0675,-49.9022
196022,"Americana","Brazil",-22.7392,-47.3314
194650,"Petrolina","Brazil",-9.39861,-40.5008
193832,"Divinopolis","Brazil",-20.1436,-44.8907
193529,"Maracanau","Brazil",-3.87667,-38.6256
189412,"Planaltina","Brazil",-15.6179,-47.6487
189047,"Santarem","Brazil",-2.44306,-54.7083
188758,"Camacari","Brazil",-12.6975,-38.3242
188000,"Santa Barbara d'Oeste","Brazil",-22.7536,-47.4136
187838,"Rio Grande","Brazil",-32.035,-52.0986
187019,"Cachoeiro de Itapemirim","Brazil",-20.8489,-41.1128
182498,"Itaborai","Brazil",-22.7444,-42.8594
180147,"Rio Claro","Brazil",-22.4114,-47.5614
179911,"Indaiatuba","Brazil",-23.0884,-47.2119
179529,"Passo Fundo","Brazil",-28.2628,-52.4067
174828,"Cotia","Brazil",-23.6039,-46.9192
171790,"Francisco Morato","Brazil",-23.2817,-46.7453
170024,"Aracatuba","Brazil",-21.2089,-50.4328
168468,"Araraquara","Brazil",-21.7944,-48.1756
167900,"Ferraz de Vasconcelos","Brazil",-23.5408,-46.3686
166562,"Arapiraca","Brazil",-9.7525,-36.6611
164676,"Lages","Brazil",-27.8161,-50.3261
164052,"Barra Mansa","Brazil",-22.5442,-44.1714
163993,"Nossa Senhora do Socorro","Brazil",-10.855,-37.1261
162202,"Dourados","Brazil",-22.2211,-54.8056
161954,"Criciuma","Brazil",-28.6775,-49.3697
160157,"Chapeco","Brazil",-27.0964,-52.6183
158292,"Barreiras","Brazil",-12.1528,-44.99
157996,"Sobral","Brazil",-3.68611,-40.3497
155716,"Itajai","Brazil",-26.9078,-48.6619
155499,"Ilheus","Brazil",-14.7936,-39.0395
153635,"Angra dos Reis","Brazil",-23.0067,-44.3181
153361,"Nova Friburgo","Brazil",-22.2819,-42.5311
152912,"Rondonopolis","Brazil",-16.4708,-54.6356
151605,"Itapecerica da Serra","Brazil",-23.7169,-46.8492
150850,"Guarapuava","Brazil",-25.3905,-51.4654
150343,"Parnamirim","Brazil",-5.91556,-35.2628
148072,"Caxias","Brazil",-4.85889,-43.3561
147281,"Nilopolis","Brazil",-22.8075,-43.4139
146588,"Pocos de Caldas","Brazil",-21.7878,-46.5614
145860,"Maraba","Brazil",-5.38146,-49.1323
143601,"Luziania","Brazil",-16.2525,-47.9503
143105,"Cabo","Brazil",-8.28333,-35.0333
143029,"Macae","Brazil",-22.3848,-41.7832
141374,"Ibirite","Brazil",-20.0219,-44.0589
141280,"Lauro de Freitas","Brazil",-12.8944,-38.3272
141013,"Paranagua","Brazil",-25.5163,-48.5254
138008,"Parnaiba","Brazil",-2.90472,-41.7767
137586,"Itu","Brazil",-23.2642,-47.2992
137406,"Castanhal","Brazil",-1.29389,-47.9264
136453,"Sao Caetano do Sul","Brazil",-23.6231,-46.5511
135741,"Queimados","Brazil",-22.7161,-43.5553
132218,"Pindamonhangaba","Brazil",-22.9239,-45.4617
130937,"Sapucaia","Brazil",-29.8333,-51.15
130130,"Jaragua do Sul","Brazil",-26.4861,-49.0667
128865,"Mogi Guacu","Brazil",-22.3677,-46.9455
127475,"Jequie","Brazil",-13.8588,-40.0851
126243,"Itapetininga","Brazil",-23.5917,-48.0531
126234,"Patos de Minas","Brazil",-18.5789,-46.5181
125096,"Braganca Paulista","Brazil",-22.9527,-46.5442
124427,"Timon","Brazil",-5.09417,-42.8367
124224,"Sao Jose dos Pinhais","Brazil",-25.5302,-49.2084
123979,"Teresopolis","Brazil",-22.4167,-42.9782
123480,"Uruguaiana","Brazil",-29.7547,-57.0883
123173,"Porto Seguro","Brazil",-16.4497,-39.0647
122688,"Alagoinhas","Brazil",-12.1356,-38.4192
122423,"Palhoca","Brazil",-27.6453,-48.6678
122211,"Barbacena","Brazil",-21.2258,-43.7736
121084,"Cachoeirinha","Brazil",-29.9511,-51.0939
119893,"Santa Rita","Brazil",-7.11389,-34.9781
119313,"Toledo","Brazil",-24.7136,-53.7431
119206,"Jau","Brazil",-22.2964,-48.5578
118410,"Cubatao","Brazil",-23.895,-46.4253
117000,"Pinhais","Brazil",-25.4447,-49.1925
116662,"Simoes Filho","Brazil",-12.7844,-38.4039
116571,"Varginha","Brazil",-21.5514,-45.4303
116013,"Sinop","Brazil",-11.8642,-55.5025
115201,"Pouso Alegre","Brazil",-22.23,-45.9364
114275,"Eunapolis","Brazil",-16.3775,-39.5803
113862,"Botucatu","Brazil",-22.8858,-48.445
113605,"Jandira","Brazil",-23.5275,-46.9025
111888,"Ribeirao Pires","Brazil",-23.7106,-46.4133
111596,"Conselheiro Lafaiete","Brazil",-20.6603,-43.7861
111514,"Resende","Brazil",-22.4689,-44.4467
111302,"Araucaria","Brazil",-25.5931,-49.4103
110968,"Atibaia","Brazil",-23.1169,-46.5503
110936,"Varzea Paulista","Brazil",-23.2114,-46.8283
110085,"Garanhuns","Brazil",-8.88202,-36.5022
109637,"Araruama","Brazil",-22.8728,-42.3431
109612,"Catanduva","Brazil",-21.1378,-48.9728
108858,"Franco da Rocha","Brazil",-23.3217,-46.7269
108239,"Cabo Frio","Brazil",-22.8872,-42.0262
107697,"Ji Parana","Brazil",-10.8853,-61.9517
107463,"Araras","Brazil",-22.3569,-47.3842
107432,"Poa","Brazil",-23.5281,-46.3447
107383,"Vitoria de Santo Antao","Brazil",-8.11806,-35.2914
107319,"Umuarama","Brazil",-23.7664,-53.325
107085,"Apucarana","Brazil",-23.5508,-51.4608
106113,"Santa Cruz do Sul","Brazil",-29.7175,-52.4258
105880,"Guaratingueta","Brazil",-22.8164,-45.1925
105075,"Linhares","Brazil",-19.3911,-40.0722
105019,"Araguaina","Brazil",-7.19111,-48.2072
103206,"Esmeraldas","Brazil",-19.7625,-44.3139
102277,"Birigui","Brazil",-21.2886,-50.34
101597,"Assis","Brazil",-22.6617,-50.4122
101220,"Barretos","Brazil",-20.5572,-48.5678
101190,"Colatina","Brazil",-19.5394,-40.6306
101170,"Teofilo Otoni","Brazil",-17.8575,-41.5053
101024,"Guaiba","Brazil",-30.1139,-51.325
100925,"Guarapari","Brazil",-20.6718,-40.502
100916,"Coronel Fabriciano","Brazil",-19.5186,-42.6289
100752,"Itaguai","Brazil",-22.8522,-43.7753
100000,"Rio das Ostras","Brazil",-22.5269,-41.945
99496,"Itabira","Brazil",-19.6192,-43.2269
99390,"Votorantim","Brazil",-23.5467,-47.4378
99211,"Sertaozinho","Brazil",-21.1378,-47.9903
98989,"Santana de Parnaiba","Brazil",-23.4442,-46.9178
98940,"Bage","Brazil",-31.3314,-54.1069
98752,"Passos","Brazil",-20.7189,-46.6097
98387,"Salto","Brazil",-23.2008,-47.2869
97828,"Uba","Brazil",-21.12,-42.9428
97799,"Ourinhos","Brazil",-22.9789,-49.8706
97521,"Trindade","Brazil",-16.6494,-49.4889
97512,"Arapongas","Brazil",-23.4194,-51.4244
96565,"Araguari","Brazil",-18.6472,-48.1872
96520,"Corumba","Brazil",-19.0092,-57.6533
96087,"Erechim","Brazil",-27.6346,-52.2754
95101,"Japeri","Brazil",-22.6431,-43.6533
94749,"Vespasiano","Brazil",-19.6919,-43.9233
94668,"Campo Largo","Brazil",-25.4596,-49.5301
93580,"Tatui","Brazil",-23.3556,-47.8569
92575,"Patos","Brazil",-7.02444,-37.28
91722,"Timoteo","Brazil",-19.5811,-42.6495
91173,"Muriae","Brazil",-21.1306,-42.3664
91080,"Cambe","Brazil",-23.2758,-51.2783
91056,"Bayeux","Brazil",-7.125,-34.9322
90852,"Bento Goncalves","Brazil",-29.1714,-51.5192
90843,"Caraguatatuba","Brazil",-23.6203,-45.4131
90385,"Itanhaem","Brazil",-24.1831,-46.7889
89694,"Santana do Livramento","Brazil",-30.8908,-55.5328
89499,"Almirante Tamandare","Brazil",-25.3247,-49.31
88853,"Planaltina","Brazil",-15.4528,-47.6142
88786,"Crato","Brazil",-7.23417,-39.4094
88630,"Valinhos","Brazil",-22.9706,-46.9958
88416,"Sao Lourenco da Mata","Brazil",-8.00222,-35.0183
88399,"Nova Lima","Brazil",-19.9856,-43.8467
88284,"Brusque","Brazil",-27.0979,-48.9128
87668,"Barra do Pirai","Brazil",-22.47,-43.8256
87236,"Alegrete","Brazil",-29.7831,-55.7919
87188,"Caieiras","Brazil",-23.3642,-46.7406
86662,"Barra do Corda","Brazil",-5.50556,-45.2433
86457,"Igarassu","Brazil",-7.83417,-34.9064
85350,"Paulo Afonso","Brazil",-9.40611,-38.2147
85345,"Ituiutaba","Brazil",-18.9743,-49.4621
84902,"Esteio","Brazil",-29.8614,-51.1792
84697,"Sarandi","Brazil",-23.4436,-51.8739
84435,"Itaperuna","Brazil",-21.205,-41.8878
83927,"Santana","Brazil",-0.05833,-51.1817
83667,"Jardim Paulista","Brazil",-23.5667,-46.6644
83288,"Codo","Brazil",-4.45528,-43.8856
82595,"Araxa","Brazil",-19.5933,-46.9406
82464,"Redencao","Brazil",-8.02861,-50.0314
81959,"Abreu e Lima","Brazil",-7.91167,-34.9028
81870,"Itajuba","Brazil",-22.4256,-45.4528
81472,"Lavras","Brazil",-21.2453,-44.9997
81285,"Avare","Brazil",-23.0986,-48.9258
81232,"Formosa","Brazil",-15.5372,-47.3344
81209,"Leme","Brazil",-22.1856,-47.3903
79819,"Cruzeiro do Sul","Brazil",-7.62759,-72.6776
79582,"Itumbiara","Brazil",-18.4192,-49.2153
79551,"Marica","Brazil",-22.9194,-42.8186
79007,"Ubatuba","Brazil",-23.4339,-45.0711
78712,"Tres Lagoas","Brazil",-20.7876,-51.7034
78592,"Sao Joao del Rei","Brazil",-21.1356,-44.2617
78244,"Mogi Mirim","Brazil",-22.4319,-46.9578
78050,"Abaetetuba","Brazil",-1.71806,-48.8825
77597,"Sao Bento do Sul","Brazil",-26.2503,-49.3786
77400,"Itauna","Brazil",-20.0753,-44.5764
77117,"Sao Mateus","Brazil",-18.7201,-39.8589
76547,"Jatai","Brazil",-17.8794,-51.7217
76540,"Sao Joao da Boa Vista","Brazil",-21.9692,-46.7981
76506,"Lorena","Brazil",-22.7308,-45.1247
76450,"Santa Cruz do Capibaribe","Brazil",-7.9575,-36.2047
76367,"Sao Sebastiao","Brazil",-23.76,-45.4097
76337,"Tucurui","Brazil",-3.76585,-49.6792
76310,"Embu Guacu","Brazil",-23.8322,-46.8114
76051,"Sapiranga","Brazil",-29.6381,-51.0069
75786,"Para de Minas","Brazil",-19.8603,-44.6083
75401,"Campo Mourao","Brazil",-24.0431,-52.3793
74694,"Cachoeira do Sul","Brazil",-30.0392,-52.8939
73957,"Santo Antonio de Jesus","Brazil",-12.9689,-39.2614
72848,"Paranavai","Brazil",-23.0731,-52.4653
72762,"Joao Monlevade","Brazil",-19.81,-43.1736
72468,"Matao","Brazil",-21.6033,-48.3658
72372,"Bacabal","Brazil",-4.29167,-44.7917
72340,"Cacapava","Brazil",-23.1008,-45.7069
72077,"Aruja","Brazil",-23.3961,-46.3208
72022,"Cruzeiro","Brazil",-22.5732,-44.9711
71963,"Patrocinio","Brazil",-18.9439,-46.9925
71944,"Tres Rios","Brazil",-22.1167,-43.2092
71862,"Bebedouro","Brazil",-20.9494,-48.4792
71539,"Sao Cristovao","Brazil",-11.0147,-37.2064
71406,"Alfenas","Brazil",-21.4292,-45.9472
71202,"Ijui","Brazil",-28.3878,-53.9147
70888,"Altamira","Brazil",-3.20333,-52.2064
70753,"Paracatu","Brazil",-17.2222,-46.8747
70689,"Carpina","Brazil",-7.85083,-35.2547
70380,"Iguatu","Brazil",-6.35944,-39.2986
69863,"Votuporanga","Brazil",-20.4228,-49.9728
69613,"Paragominas","Brazil",-2.96667,-47.4833
69451,"Lins","Brazil",-21.6786,-49.7425
69394,"Jaboticabal","Brazil",-21.2547,-48.3222
68680,"Vicosa","Brazil",-20.7539,-42.8819
68654,"Sao Sebastiao do Paraiso","Brazil",-20.9169,-46.9914
68056,"Balsas","Brazil",-7.5325,-46.0356
67934,"Itatiba","Brazil",-23.0058,-46.8389
67424,"Santa Ines","Brazil",-3.66667,-45.38
67245,"Tubarao","Brazil",-28.4667,-49.0069
65754,"Pato Branco","Brazil",-26.2286,-52.6706
65595,"Paulinia","Brazil",-22.7611,-47.1542
65407,"Lajeado","Brazil",-29.4669,-51.9614
65275,"Cruz Alta","Brazil",-28.644,-53.6063
65116,"Aquiraz","Brazil",-3.90139,-38.3911
64937,"Itacoatiara","Brazil",-3.14306,-58.4442
64789,"Gurupi","Brazil",-11.7292,-49.0686
64756,"Itaituba","Brazil",-4.27611,-55.9836
64606,"Santo Angelo","Brazil",-28.2992,-54.2631
64428,"Parintins","Brazil",-2.62833,-56.7358
63954,"Curvelo","Brazil",-18.7564,-44.4308
63888,"Itabaiana","Brazil",-10.685,-37.4253
63726,"Cacador","Brazil",-26.7753,-51.015
63678,"Ouro Preto","Brazil",-20.3948,-43.5052
63675,"Caldas Novas","Brazil",-17.7443,-48.6279
63626,"Irece","Brazil",-11.3042,-41.8558
63544,"Catalao","Brazil",-18.1658,-47.9464
63457,"Tres Coracoes","Brazil",-21.6969,-45.2533
63387,"Rio Largo","Brazil",-9.47833,-35.8533
63231,"Valenca","Brazil",-13.3703,-39.0731
63231,"Vilhena","Brazil",-12.7406,-60.1458
63030,"Peruibe","Brazil",-24.32,-46.9983
62957,"Itapeva","Brazil",-23.9822,-48.8756
62618,"Cataguases","Brazil",-21.3892,-42.6967
62056,"Saquarema","Brazil",-22.92,-42.5103
62035,"Tupa","Brazil",-21.9347,-50.5136
61931,"Fernandopolis","Brazil",-20.2839,-50.2464
61800,"Senador Canedo","Brazil",-16.7081,-49.0931
61607,"Itapira","Brazil",-22.4361,-46.8217
61249,"Gravata","Brazil",-8.20111,-35.5647
61144,"Valenca","Brazil",-22.2456,-43.7003
60413,"Pirassununga","Brazil",-21.9961,-47.4258
60202,"Unai","Brazil",-16.3575,-46.9061
60066,"Caratinga","Brazil",-19.7897,-42.1392
59721,"Itapetinga","Brazil",-15.2489,-40.2478
59654,"Mococa","Brazil",-21.4678,-47.0047
59613,"Sao Borja","Brazil",-28.6606,-56.0044
59417,"Carazinho","Brazil",-28.2839,-52.7864
58957,"Santa Rosa","Brazil",-27.8708,-54.4814
58880,"Telemaco Borba","Brazil",-24.3239,-50.6156
58877,"Guanambi","Brazil",-14.2233,-42.7814
58271,"Aracruz","Brazil",-19.8203,-40.2733
58096,"Ariquemes","Brazil",-9.91333,-63.0408
57650,"Farroupilha","Brazil",-29.225,-51.3478
57618,"Francisco Beltrao","Brazil",-26.0811,-53.055
57495,"Picos","Brazil",-7.07694,-41.4669
57375,"Lencois Paulista","Brazil",-22.5986,-48.8003
57163,"Braganca","Brazil",-1.05361,-46.7656
57163,"Arcoverde","Brazil",-8.41889,-37.0539
56765,"Vacaria","Brazil",-28.5122,-50.9339
56682,"Cajamar","Brazil",-23.3561,-46.8769
56572,"Janauba","Brazil",-15.8025,-43.3089
56492,"Vinhedo","Brazil",-23.0297,-46.9753
56404,"Formiga","Brazil",-20.4644,-45.4264
55994,"Cianorte","Brazil",-23.6633,-52.605
55784,"Itapipoca","Brazil",-3.49444,-39.5786
55763,"Ponta Pora","Brazil",-22.5361,-55.7256
55654,"Estancia","Brazil",-11.2683,-37.4383
55560,"Cacoal","Brazil",-11.4386,-61.4472
55434,"Sao Gabriel","Brazil",-30.3364,-54.32
55367,"Concordia","Brazil",-27.2342,-52.0278
55291,"Pacatuba","Brazil",-3.98417,-38.6203
55122,"Viana","Brazil",-20.3903,-40.4961
